gene_id,gene_name,info_gain,gain_ratio,sym_uncer,chi-square
AKR7L|246181,AKR7L,0,NA,0,0
AKT1S1|84335,AKT1S1,0,NA,0,0
AKT1|207,AKT1,0,NA,0,0
AKT2|208,AKT2,0,NA,0,0
AKT3|10000,AKT3,0,NA,0,0
AKTIP|64400,AKTIP,0,NA,0,0
ALAD|210,ALAD,0,NA,0,0
ALAS1|211,ALAS1,0,NA,0,0
ALAS2|212,ALAS2,0,NA,0,0
ALB|213,ALB,0,NA,0,0
ALCAM|214,ALCAM,0,NA,0,0
ALDH16A1|126133,ALDH16A1,0,NA,0,0
ALDH18A1|5832,ALDH18A1,0,NA,0,0
ALDH1A1|216,ALDH1A1,0,NA,0,0
ALDH1A2|8854,ALDH1A2,0,NA,0,0
ALDH1A3|220,ALDH1A3,0,NA,0,0
ALDH1B1|219,ALDH1B1,0,NA,0,0
ALDH1L1|10840,ALDH1L1,0,NA,0,0
ALDH1L2|160428,ALDH1L2,0,NA,0,0
ALDH2|217,ALDH2,0,NA,0,0
ALDH3A1|218,ALDH3A1,0,NA,0,0
ALDH3A2|224,ALDH3A2,0,NA,0,0
ALDH3B1|221,ALDH3B1,0,NA,0,0
ALDH3B2|222,ALDH3B2,0,NA,0,0
ALDH4A1|8659,ALDH4A1,0,NA,0,0
ALDH5A1|7915,ALDH5A1,0,NA,0,0
ALDH6A1|4329,ALDH6A1,0,NA,0,0
ALDH7A1|501,ALDH7A1,0,NA,0,0
ALDH8A1|64577,ALDH8A1,0,NA,0,0
ALDH9A1|223,ALDH9A1,0,NA,0,0
ALDOA|226,ALDOA,0,NA,0,0
ALDOB|229,ALDOB,0,NA,0,0
ALDOC|230,ALDOC,0,NA,0,0
ALG10B|144245,ALG10B,0,NA,0,0
ALG10|84920,ALG10,0,NA,0,0
ALG11|440138,ALG11,0,NA,0,0
ALG12|79087,ALG12,0,NA,0,0
ALG13|79868,ALG13,0,NA,0,0
ALG14|199857,ALG14,0,NA,0,0
ALG1L2|644974,ALG1L2,0,NA,0,0
ALG1L|200810,ALG1L,0,NA,0,0
ALG1|56052,ALG1,0,NA,0,0
ALG2|85365,ALG2,0,NA,0,0
ALG3|10195,ALG3,0,NA,0,0
ALG5|29880,ALG5,0,NA,0,0
ALG6|29929,ALG6,0,NA,0,0
ALG8|79053,ALG8,0,NA,0,0
ALG9|79796,ALG9,0,NA,0,0
ALKBH1|8846,ALKBH1,0,NA,0,0
ALKBH2|121642,ALKBH2,0,NA,0,0
ALKBH3|221120,ALKBH3,0,NA,0,0
ALKBH4|54784,ALKBH4,0,NA,0,0
ALKBH5|54890,ALKBH5,0,NA,0,0
ALKBH6|84964,ALKBH6,0,NA,0,0
